Date : 2022-07-09 13:57:37
Directory : c:\Users\syhie\IdeaProjects\onlinebiz
Total : 301 files,  20917 codes, 4062 comments, 3510 blanks, all 28489 lines

Languages
+----------+------------+------------+------------+------------+------------+
| language | files      | code       | comment    | blank      | total      |
| c:\Users\syhie\IdeaProjects\onlinebiz\onlinebiz-sample\src\main\java\com\njustc\onlinebiz\sample\service\DefaultSampleService.java                         | Java     |         92 |         12 |         11 |        115 |
| c:\Users\syhie\IdeaProjects\onlinebiz\onlinebiz-sample\src\main\java\com\njustc\onlinebiz\sample\service\SampleService.java                                | Java     |         10 |         29 |         11 |         50 |
| c:\Users\syhie\IdeaProjects\onlinebiz\onlinebiz-sample\src\main\resources\application-dev.yml                                                              | YAML     |          4 |          0 |          1 |          5 |
| c:\Users\syhie\IdeaProjects\onlinebiz\onlinebiz-sample\src\main\resources\application-prod.yml                                                             | YAML     |          4 |          0 |          1 |          5 |
| c:\Users\syhie\IdeaProjects\onlinebiz\onlinebiz-sample\src\main\resources\application.yml                                                                  | YAML     |         22 |          0 |          3 |         25 |
| c:\Users\syhie\IdeaProjects\onlinebiz\onlinebiz-sample\src\test\java\com\njustc\onlinebiz\sample\DefaultSampleServiceTest.java                             | Java     |         84 |         16 |         13 |        113 |
| c:\Users\syhie\IdeaProjects\onlinebiz\onlinebiz-sample\src\test\java\com\njustc\onlinebiz\sample\MongoSampleDAOIT.java                                     | Java     |        101 |          3 |         17 |        121 |
| c:\Users\syhie\IdeaProjects\onlinebiz\onlinebiz-test\pom.xml                                                                                               | XML      |         87 |          0 |         12 |         99 |
| c:\Users\syhie\IdeaProjects\onlinebiz\onlinebiz-test\src\main\java\com\njustc\onlinebiz\test\TestServiceApplication.java                                   | Java     |          9 |          0 |          5 |         14 |
| c:\Users\syhie\IdeaProjects\onlinebiz\onlinebiz-test\src\main\java\com\njustc\onlinebiz\test\config\TestConfig.java                                        | Java     |         15 |          0 |          3 |         18 |
| c:\Users\syhie\IdeaProjects\onlinebiz\onlinebiz-test\src\main\java\com\njustc\onlinebiz\test\controller\project\ProjectController.java                     | Java     |         69 |         52 |         12 |        133 |
| c:\Users\syhie\IdeaProjects\onlinebiz\onlinebiz-test\src\main\java\com\njustc\onlinebiz\test\controller\project\ProjectControllerAdvice.java               | Java     |         53 |         36 |         14 |        103 |
| c:\Users\syhie\IdeaProjects\onlinebiz\onlinebiz-test\src\main\java\com\njustc\onlinebiz\test\controller\report\ReportController.java                       | Java     |         37 |         27 |          7 |         71 |
| c:\Users\syhie\IdeaProjects\onlinebiz\onlinebiz-test\src\main\java\com\njustc\onlinebiz\test\controller\report\ReportControllerAdvice.java                 | Java     |         55 |         29 |          8 |         92 |
| c:\Users\syhie\IdeaProjects\onlinebiz\onlinebiz-test\src\main\java\com\njustc\onlinebiz\test\controller\review\EntrustTestReviewController.java            | Java     |         29 |         20 |          6 |         55 |
| c:\Users\syhie\IdeaProjects\onlinebiz\onlinebiz-test\src\main\java\com\njustc\onlinebiz\test\controller\review\ReportReviewController.java                 | Java     |         53 |         38 |          9 |        100 |
| c:\Users\syhie\IdeaProjects\onlinebiz\onlinebiz-test\src\main\java\com\njustc\onlinebiz\test\controller\review\ReviewControllerAdvice.java                 | Java     |         51 |         34 |         10 |         95 |
| c:\Users\syhie\IdeaProjects\onlinebiz\onlinebiz-test\src\main\java\com\njustc\onlinebiz\test\controller\review\SchemeReviewController.java                 | Java     |         54 |         40 |         11 |        105 |
| c:\Users\syhie\IdeaProjects\onlinebiz\onlinebiz-test\src\main\java\com\njustc\onlinebiz\test\controller\scheme\SchemeController.java                       | Java     |         40 |         27 |          8 |         75 |
| c:\Users\syhie\IdeaProjects\onlinebiz\onlinebiz-test\src\main\java\com\njustc\onlinebiz\test\controller\scheme\SchemeControllerAdvice.java                 | Java     |         43 |         28 |          6 |         77 |
| c:\Users\syhie\IdeaProjects\onlinebiz\onlinebiz-test\src\main\java\com\njustc\onlinebiz\test\controller\testcase\TestcaseController.java                   | Java     |         40 |         27 |          8 |         75 |
| c:\Users\syhie\IdeaProjects\onlinebiz\onlinebiz-test\src\main\java\com\njustc\onlinebiz\test\controller\testcase\TestcaseControllerAdvice.java             | Java     |         51 |         34 |          9 |         94 |
| c:\Users\syhie\IdeaProjects\onlinebiz\onlinebiz-test\src\main\java\com\njustc\onlinebiz\test\controller\testissue\TestIssueController.java                 | Java     |         40 |         27 |          8 |         75 |
| c:\Users\syhie\IdeaProjects\onlinebiz\onlinebiz-test\src\main\java\com\njustc\onlinebiz\test\controller\testissue\TestIssueControllerAdvice.java           | Java     |         51 |         34 |          9 |         94 |
| c:\Users\syhie\IdeaProjects\onlinebiz\onlinebiz-test\src\main\java\com\njustc\onlinebiz\test\controller\testrecord\TestRecordController.java               | Java     |         40 |         27 |          8 |         75 |
| c:\Users\syhie\IdeaProjects\onlinebiz\onlinebiz-test\src\main\java\com\njustc\onlinebiz\test\controller\testrecord\TestRecordControllerAdvice.java         | Java     |         51 |         34 |          9 |         94 |
| c:\Users\syhie\IdeaProjects\onlinebiz\onlinebiz-test\src\main\java\com\njustc\onlinebiz\test\dao\project\MongoProjectDAO.java                              | Java     |        112 |         10 |         24 |        146 |
| c:\Users\syhie\IdeaProjects\onlinebiz\onlinebiz-test\src\main\java\com\njustc\onlinebiz\test\dao\project\ProjectDAO.java                                   | Java     |         22 |         81 |         19 |        122 |
| c:\Users\syhie\IdeaProjects\onlinebiz\onlinebiz-test\src\main\java\com\njustc\onlinebiz\test\dao\report\MongoReportDAO.java                                | Java     |         42 |          0 |          9 |         51 |
| c:\Users\syhie\IdeaProjects\onlinebiz\onlinebiz-test\src\main\java\com\njustc\onlinebiz\test\dao\report\ReportDAO.java                                     | Java     |          8 |         29 |          6 |         43 |
| c:\Users\syhie\IdeaProjects\onlinebiz\onlinebiz-test\src\main\java\com\njustc\onlinebiz\test\dao\review\EntrustTestReviewDAO.java                          | Java     |          8 |         21 |          6 |         35 |
| c:\Users\syhie\IdeaProjects\onlinebiz\onlinebiz-test\src\main\java\com\njustc\onlinebiz\test\dao\review\MongoEntrustTestReviewDAO.java                     | Java     |         50 |          1 |          8 |         59 |
| c:\Users\syhie\IdeaProjects\onlinebiz\onlinebiz-test\src\main\java\com\njustc\onlinebiz\test\dao\review\MongoReportReviewDAO.java                          | Java     |         50 |          1 |         10 |         61 |
| c:\Users\syhie\IdeaProjects\onlinebiz\onlinebiz-test\src\main\java\com\njustc\onlinebiz\test\dao\review\MongoSchemeReviewDAO.java                          | Java     |         50 |          1 |         10 |         61 |
| c:\Users\syhie\IdeaProjects\onlinebiz\onlinebiz-test\src\main\java\com\njustc\onlinebiz\test\dao\review\ReportReviewDAO.java                               | Java     |          9 |         26 |          7 |         42 |
| c:\Users\syhie\IdeaProjects\onlinebiz\onlinebiz-test\src\main\java\com\njustc\onlinebiz\test\dao\review\SchemeReviewDAO.java                               | Java     |          9 |         29 |         10 |         48 |
| c:\Users\syhie\IdeaProjects\onlinebiz\onlinebiz-test\src\main\java\com\njustc\onlinebiz\test\dao\scheme\MongoSchemeDAO.java                                | Java     |         43 |          1 |         10 |         54 |
| c:\Users\syhie\IdeaProjects\onlinebiz\onlinebiz-test\src\main\java\com\njustc\onlinebiz\test\dao\scheme\SchemeDAO.java                                     | Java     |          9 |         30 |          6 |         45 |
| c:\Users\syhie\IdeaProjects\onlinebiz\onlinebiz-test\src\main\java\com\njustc\onlinebiz\test\dao\testcase\MongoTestcaseDAO.java                            | Java     |         43 |          1 |         11 |         55 |
| c:\Users\syhie\IdeaProjects\onlinebiz\onlinebiz-test\src\main\java\com\njustc\onlinebiz\test\dao\testcase\TestcaseDAO.java                                 | Java     |          9 |         29 |          7 |         45 |
| c:\Users\syhie\IdeaProjects\onlinebiz\onlinebiz-test\src\main\java\com\njustc\onlinebiz\test\dao\testissue\MongoTestIssueDAO.java                          | Java     |         43 |          1 |         12 |         56 |
| c:\Users\syhie\IdeaProjects\onlinebiz\onlinebiz-test\src\main\java\com\njustc\onlinebiz\test\dao\testissue\TestIssueDAO.java                               | Java     |          9 |         29 |          7 |         45 |
| c:\Users\syhie\IdeaProjects\onlinebiz\onlinebiz-test\src\main\java\com\njustc\onlinebiz\test\dao\testrecord\MongoTestRecordDAO.java                        | Java     |         43 |          1 |         12 |         56 |
| c:\Users\syhie\IdeaProjects\onlinebiz\onlinebiz-test\src\main\java\com\njustc\onlinebiz\test\dao\testrecord\TestRecordDAO.java                             | Java     |          9 |         29 |          7 |         45 |
| c:\Users\syhie\IdeaProjects\onlinebiz\onlinebiz-test\src\main\java\com\njustc\onlinebiz\test\exception\project\ProjectDAOFailureException.java             | Java     |          6 |          0 |          2 |          8 |
| c:\Users\syhie\IdeaProjects\onlinebiz\onlinebiz-test\src\main\java\com\njustc\onlinebiz\test\exception\project\ProjectInvalidArgumentException.java        | Java     |          6 |          0 |          3 |          9 |
| c:\Users\syhie\IdeaProjects\onlinebiz\onlinebiz-test\src\main\java\com\njustc\onlinebiz\test\exception\project\ProjectInvalidStageException.java           | Java     |          6 |          0 |          2 |          8 |
| c:\Users\syhie\IdeaProjects\onlinebiz\onlinebiz-test\src\main\java\com\njustc\onlinebiz\test\exception\project\ProjectNotFoundException.java               | Java     |          6 |          0 |          2 |          8 |
| c:\Users\syhie\IdeaProjects\onlinebiz\onlinebiz-test\src\main\java\com\njustc\onlinebiz\test\exception\project\ProjectPermissionDeniedException.java       | Java     |          6 |          0 |          2 |          8 |
| c:\Users\syhie\IdeaProjects\onlinebiz\onlinebiz-test\src\main\java\com\njustc\onlinebiz\test\exception\report\ReportDAOFailureException.java               | Java     |          6 |          0 |          2 |          8 |
| c:\Users\syhie\IdeaProjects\onlinebiz\onlinebiz-test\src\main\java\com\njustc\onlinebiz\test\exception\report\ReportInvalidStageException.java             | Java     |          6 |          0 |          2 |          8 |
| c:\Users\syhie\IdeaProjects\onlinebiz\onlinebiz-test\src\main\java\com\njustc\onlinebiz\test\exception\report\ReportNotFoundException.java                 | Java     |          6 |          0 |          2 |          8 |
| c:\Users\syhie\IdeaProjects\onlinebiz\onlinebiz-test\src\main\java\com\njustc\onlinebiz\test\exception\report\ReportPermissionDeniedException.java         | Java     |          6 |          0 |          2 |          8 |
| c:\Users\syhie\IdeaProjects\onlinebiz\onlinebiz-test\src\main\java\com\njustc\onlinebiz\test\exception\review\ReviewDAOFailureException.java               | Java     |          4 |          0 |          2 |          6 |
| c:\Users\syhie\IdeaProjects\onlinebiz\onlinebiz-test\src\main\java\com\njustc\onlinebiz\test\exception\review\ReviewInvalidStageException.java             | Java     |          4 |          0 |          2 |          6 |
| c:\Users\syhie\IdeaProjects\onlinebiz\onlinebiz-test\src\main\java\com\njustc\onlinebiz\test\exception\review\ReviewNotFoundException.java                 | Java     |          4 |          0 |          2 |          6 |
| c:\Users\syhie\IdeaProjects\onlinebiz\onlinebiz-test\src\main\java\com\njustc\onlinebiz\test\exception\review\ReviewPermissionDeniedException.java         | Java     |          4 |          0 |          2 |          6 |
| c:\Users\syhie\IdeaProjects\onlinebiz\onlinebiz-test\src\main\java\com\njustc\onlinebiz\test\exception\scheme\SchemeDAOFailureException.java               | Java     |          6 |          0 |          2 |          8 |
| c:\Users\syhie\IdeaProjects\onlinebiz\onlinebiz-test\src\main\java\com\njustc\onlinebiz\test\exception\scheme\SchemeInvalidStageException.java             | Java     |          6 |          0 |          2 |          8 |
| c:\Users\syhie\IdeaProjects\onlinebiz\onlinebiz-test\src\main\java\com\njustc\onlinebiz\test\exception\scheme\SchemeNotFoundException.java                 | Java     |          6 |          0 |          2 |          8 |
| c:\Users\syhie\IdeaProjects\onlinebiz\onlinebiz-test\src\main\java\com\njustc\onlinebiz\test\exception\scheme\SchemePermissionDeniedException.java         | Java     |          6 |          0 |          2 |          8 |
| c:\Users\syhie\IdeaProjects\onlinebiz\onlinebiz-test\src\main\java\com\njustc\onlinebiz\test\exception\testcase\TestcaseDAOFailureException.java           | Java     |          6 |          0 |          2 |          8 |
| c:\Users\syhie\IdeaProjects\onlinebiz\onlinebiz-test\src\main\java\com\njustc\onlinebiz\test\exception\testcase\TestcaseInvalidStageException.java         | Java     |          6 |          0 |          1 |          7 |
| c:\Users\syhie\IdeaProjects\onlinebiz\onlinebiz-test\src\main\java\com\njustc\onlinebiz\test\exception\testcase\TestcaseNotFoundException.java             | Java     |          6 |          0 |          2 |          8 |
| c:\Users\syhie\IdeaProjects\onlinebiz\onlinebiz-test\src\main\java\com\njustc\onlinebiz\test\exception\testcase\TestcasePermissionDeniedException.java     | Java     |          6 |          0 |          2 |          8 |
| c:\Users\syhie\IdeaProjects\onlinebiz\onlinebiz-test\src\main\java\com\njustc\onlinebiz\test\exception\testissue\TestIssueDAOFailureException.java         | Java     |          6 |          0 |          2 |          8 |
| c:\Users\syhie\IdeaProjects\onlinebiz\onlinebiz-test\src\main\java\com\njustc\onlinebiz\test\exception\testissue\TestIssueInvalidStageException.java       | Java     |          6 |          0 |          1 |          7 |
| c:\Users\syhie\IdeaProjects\onlinebiz\onlinebiz-test\src\main\java\com\njustc\onlinebiz\test\exception\testissue\TestIssueNotFoundException.java           | Java     |          6 |          0 |          2 |          8 |
| c:\Users\syhie\IdeaProjects\onlinebiz\onlinebiz-test\src\main\java\com\njustc\onlinebiz\test\exception\testissue\TestIssuePermissionDeniedException.java   | Java     |          6 |          0 |          2 |          8 |
| c:\Users\syhie\IdeaProjects\onlinebiz\onlinebiz-test\src\main\java\com\njustc\onlinebiz\test\exception\testrecord\TestRecordDAOFailureException.java       | Java     |          6 |          0 |          2 |          8 |
| c:\Users\syhie\IdeaProjects\onlinebiz\onlinebiz-test\src\main\java\com\njustc\onlinebiz\test\exception\testrecord\TestRecordInvalidStageException.java     | Java     |          6 |          0 |          1 |          7 |
| c:\Users\syhie\IdeaProjects\onlinebiz\onlinebiz-test\src\main\java\com\njustc\onlinebiz\test\exception\testrecord\TestRecordNotFoundException.java         | Java     |          6 |          0 |          2 |          8 |
| c:\Users\syhie\IdeaProjects\onlinebiz\onlinebiz-test\src\main\java\com\njustc\onlinebiz\test\exception\testrecord\TestRecordPermissionDeniedException.java | Java     |          6 |          0 |          3 |          9 |
| c:\Users\syhie\IdeaProjects\onlinebiz\onlinebiz-test\src\main\java\com\njustc\onlinebiz\test\service\project\MongoProjectService.java                      | Java     |        293 |         34 |         25 |        352 |
| c:\Users\syhie\IdeaProjects\onlinebiz\onlinebiz-test\src\main\java\com\njustc\onlinebiz\test\service\project\ProjectService.java                           | Java     |         14 |         58 |         10 |         82 |
| c:\Users\syhie\IdeaProjects\onlinebiz\onlinebiz-test\src\main\java\com\njustc\onlinebiz\test\service\report\MongoReportService.java                        | Java     |        115 |          3 |         15 |        133 |
| c:\Users\syhie\IdeaProjects\onlinebiz\onlinebiz-test\src\main\java\com\njustc\onlinebiz\test\service\report\ReportService.java                             | Java     |          9 |         37 |          6 |         52 |
| c:\Users\syhie\IdeaProjects\onlinebiz\onlinebiz-test\src\main\java\com\njustc\onlinebiz\test\service\review\EntrustTestReviewService.java                  | Java     |         12 |         32 |          7 |         51 |
| c:\Users\syhie\IdeaProjects\onlinebiz\onlinebiz-test\src\main\java\com\njustc\onlinebiz\test\service\review\MongoEntrustTestReviewService.java             | Java     |         64 |          1 |         10 |         75 |
| c:\Users\syhie\IdeaProjects\onlinebiz\onlinebiz-test\src\main\java\com\njustc\onlinebiz\test\service\review\MongoReportReviewService.java                  | Java     |        160 |         16 |         22 |        198 |
| c:\Users\syhie\IdeaProjects\onlinebiz\onlinebiz-test\src\main\java\com\njustc\onlinebiz\test\service\review\MongoSchemeReviewService.java                  | Java     |        183 |         21 |         16 |        220 |
| c:\Users\syhie\IdeaProjects\onlinebiz\onlinebiz-test\src\main\java\com\njustc\onlinebiz\test\service\review\ReportReviewService.java                       | Java     |         15 |         54 |         11 |         80 |
| c:\Users\syhie\IdeaProjects\onlinebiz\onlinebiz-test\src\main\java\com\njustc\onlinebiz\test\service\review\SchemeReviewService.java                       | Java     |         15 |         54 |         13 |         82 |
| c:\Users\syhie\IdeaProjects\onlinebiz\onlinebiz-test\src\main\java\com\njustc\onlinebiz\test\service\scheme\MongoSchemeService.java                        | Java     |        103 |          3 |         18 |        124 |
| c:\Users\syhie\IdeaProjects\onlinebiz\onlinebiz-test\src\main\java\com\njustc\onlinebiz\test\service\scheme\SchemeService.java                             | Java     |         10 |         37 |         11 |         58 |
| c:\Users\syhie\IdeaProjects\onlinebiz\onlinebiz-test\src\main\java\com\njustc\onlinebiz\test\service\testcase\MongoTestcaseService.java                    | Java     |        109 |          3 |         16 |        128 |
| c:\Users\syhie\IdeaProjects\onlinebiz\onlinebiz-test\src\main\java\com\njustc\onlinebiz\test\service\testcase\TestcaseService.java                         | Java     |         10 |         37 |          8 |         55 |
| c:\Users\syhie\IdeaProjects\onlinebiz\onlinebiz-test\src\main\java\com\njustc\onlinebiz\test\service\testissue\MongoTestIssueService.java                  | Java     |        108 |          3 |         16 |        127 |
| c:\Users\syhie\IdeaProjects\onlinebiz\onlinebiz-test\src\main\java\com\njustc\onlinebiz\test\service\testissue\TestIssueService.java                       | Java     |         10 |         37 |          8 |         55 |
| c:\Users\syhie\IdeaProjects\onlinebiz\onlinebiz-test\src\main\java\com\njustc\onlinebiz\test\service\testrecord\MongoTestRecordService.java                | Java     |        108 |          3 |         16 |        127 |
| c:\Users\syhie\IdeaProjects\onlinebiz\onlinebiz-test\src\main\java\com\njustc\onlinebiz\test\service\testrecord\TestRecordService.java                     | Java     |         10 |         37 |          8 |         55 |
| c:\Users\syhie\IdeaProjects\onlinebiz\onlinebiz-test\src\main\resources\application-dev.yml                                                                | YAML     |          4 |          0 |          2 |          6 |
| c:\Users\syhie\IdeaProjects\onlinebiz\onlinebiz-test\src\main\resources\application-prod.yml                                                               | YAML     |          4 |          0 |          1 |          5 |
| c:\Users\syhie\IdeaProjects\onlinebiz\onlinebiz-test\src\main\resources\application.yml                                                                    | YAML     |         27 |          0 |          2 |         29 |
| c:\Users\syhie\IdeaProjects\onlinebiz\onlinebiz-test\src\test\java\com\njustc\onlinebiz\test\TestServiceApplicationTests.java                              | Java     |          9 |          0 |          5 |         14 |
| c:\Users\syhie\IdeaProjects\onlinebiz\onlinebiz-test\src\test\java\com\njustc\onlinebiz\test\dao\project\MongoProjectDAOIT.java                            | Java     |        225 |         24 |         30 |        279 |
| c:\Users\syhie\IdeaProjects\onlinebiz\onlinebiz-test\src\test\java\com\njustc\onlinebiz\test\dao\report\MongoReportDAOIT.java                              | Java     |         82 |          7 |         12 |        101 |
| c:\Users\syhie\IdeaProjects\onlinebiz\onlinebiz-test\src\test\java\com\njustc\onlinebiz\test\dao\review\MongoEntrustTestReviewDAOIT.java                   | Java     |         81 |          8 |         12 |        101 |
| c:\Users\syhie\IdeaProjects\onlinebiz\onlinebiz-test\src\test\java\com\njustc\onlinebiz\test\dao\review\MongoReportReviewDAOIT.java                        | Java     |         87 |         11 |         15 |        113 |
| c:\Users\syhie\IdeaProjects\onlinebiz\onlinebiz-test\src\test\java\com\njustc\onlinebiz\test\dao\review\MongoSchemeReviewDAOIT.java                        | Java     |         87 |         11 |         15 |        113 |
| c:\Users\syhie\IdeaProjects\onlinebiz\onlinebiz-test\src\test\java\com\njustc\onlinebiz\test\dao\scheme\MongoSchemeDAOIT.java                              | Java     |         79 |          9 |         13 |        101 |
| c:\Users\syhie\IdeaProjects\onlinebiz\onlinebiz-test\src\test\java\com\njustc\onlinebiz\test\dao\testcase\MongoTestcaseDAOIT.java                          | Java     |         80 |          9 |         13 |        102 |
| c:\Users\syhie\IdeaProjects\onlinebiz\onlinebiz-test\src\test\java\com\njustc\onlinebiz\test\dao\testissue\MongoTestIssueDAOIT.java                        | Java     |         89 |          9 |         13 |        111 |
| c:\Users\syhie\IdeaProjects\onlinebiz\onlinebiz-test\src\test\java\com\njustc\onlinebiz\test\dao\testrecord\MongoTestRecordDAOIT.java                      | Java     |         76 |          9 |         13 |         98 |
| c:\Users\syhie\IdeaProjects\onlinebiz\onlinebiz-test\src\test\java\com\njustc\onlinebiz\test\service\project\MongoProjectServiceTest.java                  | Java     |        623 |          0 |         55 |        678 |
| c:\Users\syhie\IdeaProjects\onlinebiz\onlinebiz-test\src\test\java\com\njustc\onlinebiz\test\service\report\MongoReportServiceTest.java                    | Java     |        323 |          0 |         30 |        353 |
| c:\Users\syhie\IdeaProjects\onlinebiz\onlinebiz-test\src\test\java\com\njustc\onlinebiz\test\service\review\MongoEntrustTestReviewServiceTest.java         | Java     |        159 |          0 |         20 |        179 |
| c:\Users\syhie\IdeaProjects\onlinebiz\onlinebiz-test\src\test\java\com\njustc\onlinebiz\test\service\review\MongoReportReviewServiceTest.java              | Java     |        351 |          0 |         29 |        380 |
| c:\Users\syhie\IdeaProjects\onlinebiz\onlinebiz-test\src\test\java\com\njustc\onlinebiz\test\service\review\MongoSchemeReviewServiceTest.java              | Java     |        562 |         89 |         43 |        694 |
| c:\Users\syhie\IdeaProjects\onlinebiz\onlinebiz-test\src\test\java\com\njustc\onlinebiz\test\service\scheme\MongoSchemeServiceTest.java                    | Java     |        377 |         67 |         29 |        473 |
| c:\Users\syhie\IdeaProjects\onlinebiz\onlinebiz-test\src\test\java\com\njustc\onlinebiz\test\service\testcase\MongoTestcaseServiceTest.java                | Java     |        329 |         56 |         30 |        415 |
| c:\Users\syhie\IdeaProjects\onlinebiz\onlinebiz-test\src\test\java\com\njustc\onlinebiz\test\service\testissue\MongoTestIssueServiceTest.java              | Java     |        311 |         57 |         32 |        400 |
| c:\Users\syhie\IdeaProjects\onlinebiz\onlinebiz-test\src\test\java\com\njustc\onlinebiz\test\service\testrecord\MongoTestRecordServiceTest.java            | Java     |        305 |         58 |         27 |        390 |
| c:\Users\syhie\IdeaProjects\onlinebiz\onlinebiz-user\Dockerfile                                                                                            | Docker   |          3 |          0 |          3 |          6 |
| c:\Users\syhie\IdeaProjects\onlinebiz\onlinebiz-user\pom.xml                                                                                               | XML      |        104 |          4 |         18 |        126 |
| c:\Users\syhie\IdeaProjects\onlinebiz\onlinebiz-user\src\main\java\com\njustc\onlinebiz\user\UserServiceApplication.java                                   | Java     |         15 |          0 |          5 |         20 |
| c:\Users\syhie\IdeaProjects\onlinebiz\onlinebiz-user\src\main\java\com\njustc\onlinebiz\user\controller\UserController.java                                | Java     |         95 |         12 |         17 |        124 |
| c:\Users\syhie\IdeaProjects\onlinebiz\onlinebiz-user\src\main\java\com\njustc\onlinebiz\user\controller\UserControllerAdvice.java                          | Java     |         31 |          0 |          7 |         38 |
| c:\Users\syhie\IdeaProjects\onlinebiz\onlinebiz-user\src\main\java\com\njustc\onlinebiz\user\exception\UserDBFailureException.java                         | Java     |          6 |          0 |          4 |         10 |
| c:\Users\syhie\IdeaProjects\onlinebiz\onlinebiz-user\src\main\java\com\njustc\onlinebiz\user\exception\UserInvalidArgumentException.java                   | Java     |          6 |          0 |          4 |         10 |
| c:\Users\syhie\IdeaProjects\onlinebiz\onlinebiz-user\src\main\java\com\njustc\onlinebiz\user\exception\UserPermissonDeniedException.java                   | Java     |          6 |          0 |          4 |         10 |
| c:\Users\syhie\IdeaProjects\onlinebiz\onlinebiz-user\src\main\java\com\njustc\onlinebiz\user\mapper\UserMapper.java                                        | Java     |         17 |         52 |         14 |         83 |
| c:\Users\syhie\IdeaProjects\onlinebiz\onlinebiz-user\src\main\java\com\njustc\onlinebiz\user\model\User.java                                               | Java     |         28 |          0 |         11 |         39 |
| c:\Users\syhie\IdeaProjects\onlinebiz\onlinebiz-user\src\main\java\com\njustc\onlinebiz\user\service\DefaultUserService.java                               | Java     |        184 |         36 |         23 |        243 |
| c:\Users\syhie\IdeaProjects\onlinebiz\onlinebiz-user\src\main\java\com\njustc\onlinebiz\user\service\UserService.java                                      | Java     |         18 |         59 |         16 |         93 |
| c:\Users\syhie\IdeaProjects\onlinebiz\onlinebiz-user\src\main\java\com\njustc\onlinebiz\user\service\UserServiceConfiguration.java                         | Java     |         44 |          3 |          8 |         55 |
| c:\Users\syhie\IdeaProjects\onlinebiz\onlinebiz-user\src\main\resources\application-dev.yml                                                                | YAML     |          6 |          0 |          1 |          7 |
| c:\Users\syhie\IdeaProjects\onlinebiz\onlinebiz-user\src\main\resources\application-prod.yml                                                               | YAML     |          6 |          0 |          1 |          7 |
| c:\Users\syhie\IdeaProjects\onlinebiz\onlinebiz-user\src\main\resources\application.yml                                                                    | YAML     |         45 |          0 |          4 |         49 |
| c:\Users\syhie\IdeaProjects\onlinebiz\onlinebiz-user\src\main\resources\mappers\UserMapper.xml                                                             | XML      |         37 |          0 |         10 |         47 |
| c:\Users\syhie\IdeaProjects\onlinebiz\onlinebiz-user\src\test\java\com\njustc\onlinebiz\user\UserControllerIT.java                                         | Java     |        363 |         10 |         55 |        428 |
| c:\Users\syhie\IdeaProjects\onlinebiz\onlinebiz-user\src\test\java\com\njustc\onlinebiz\user\UserMapperIT.java                                             | Java     |        108 |          3 |         25 |        136 |
| c:\Users\syhie\IdeaProjects\onlinebiz\pom.xml                                                                                                              | XML      |         77 |          4 |         12 |         93 |
| Total                                                                                                                                                      |          |     20,917 |      4,062 |      3,510 |     28,489 |
+------------------------------------------------------------------------------------------------------------------------------------------------------------+----------+------------+------------+------------+------------+
