Date : 2022-07-09 13:57:37
Directory : c:\Users\syhie\IdeaProjects\onlinebiz
Total : 301 files,  20917 codes, 4062 comments, 3510 blanks, all 28489 lines

Languages
+----------+------------+------------+------------+------------+------------+
| language | files      | code       | comment    | blank      | total      |
| onlinebiz-contract\src\test\java\com\njustc\onlinebiz\contract                                                                                             |          2 |        429 |          0 |         79 |        508 |
| onlinebiz-discovery                                                                                                                                        |          3 |         51 |          1 |         12 |         64 |
| onlinebiz-discovery\src                                                                                                                                    |          2 |         25 |          1 |          6 |         32 |
| onlinebiz-discovery\src\main                                                                                                                               |          2 |         25 |          1 |          6 |         32 |
| onlinebiz-discovery\src\main\java                                                                                                                          |          1 |         11 |          0 |          3 |         14 |
| onlinebiz-discovery\src\main\java\com                                                                                                                      |          1 |         11 |          0 |          3 |         14 |
| onlinebiz-discovery\src\main\java\com\njustc                                                                                                               |          1 |         11 |          0 |          3 |         14 |
| onlinebiz-discovery\src\main\java\com\njustc\onlinebiz                                                                                                     |          1 |         11 |          0 |          3 |         14 |
| onlinebiz-discovery\src\main\java\com\njustc\onlinebiz\discovery                                                                                           |          1 |         11 |          0 |          3 |         14 |
| onlinebiz-discovery\src\main\resources                                                                                                                     |          1 |         14 |          1 |          3 |         18 |
| onlinebiz-document                                                                                                                                         |         62 |      7,618 |      1,004 |        974 |      9,596 |
| onlinebiz-document\src                                                                                                                                     |         61 |      7,509 |      1,004 |        956 |      9,469 |
| onlinebiz-document\src\main                                                                                                                                |         43 |      6,523 |        964 |        824 |      8,311 |
| onlinebiz-document\src\main\java                                                                                                                           |         42 |      6,509 |        961 |        821 |      8,291 |
| onlinebiz-document\src\main\java\com                                                                                                                       |         42 |      6,509 |        961 |        821 |      8,291 |
| onlinebiz-document\src\main\java\com\njustc                                                                                                                |         42 |      6,509 |        961 |        821 |      8,291 |
| onlinebiz-document\src\main\java\com\njustc\onlinebiz                                                                                                      |         42 |      6,509 |        961 |        821 |      8,291 |
| onlinebiz-document\src\main\java\com\njustc\onlinebiz\doc                                                                                                  |         42 |      6,509 |        961 |        821 |      8,291 |
| onlinebiz-document\src\main\java\com\njustc\onlinebiz\doc\configuration                                                                                    |          1 |         14 |          0 |          5 |         19 |
| onlinebiz-document\src\main\java\com\njustc\onlinebiz\doc\controller                                                                                       |          2 |        237 |        143 |         30 |        410 |
| onlinebiz-document\src\main\java\com\njustc\onlinebiz\doc\dao                                                                                              |          1 |         40 |         16 |          7 |         63 |
| onlinebiz-document\src\main\java\com\njustc\onlinebiz\doc\exception                                                                                        |          3 |         18 |          0 |          9 |         27 |
| onlinebiz-document\src\main\java\com\njustc\onlinebiz\doc\model                                                                                            |         16 |      1,663 |         52 |        155 |      1,870 |
| onlinebiz-document\src\main\java\com\njustc\onlinebiz\doc\model\JS003                                                                                      |          3 |        137 |          2 |         27 |        166 |
| onlinebiz-document\src\main\java\com\njustc\onlinebiz\doc\service                                                                                          |         16 |      4,026 |        558 |        581 |      5,165 |
| onlinebiz-document\src\main\java\com\njustc\onlinebiz\doc\util                                                                                             |          2 |        502 |        192 |         31 |        725 |
| onlinebiz-document\src\main\resources                                                                                                                      |          1 |         14 |          3 |          3 |         20 |
| onlinebiz-document\src\test                                                                                                                                |         18 |        986 |         40 |        132 |      1,158 |
| onlinebiz-document\src\test\java                                                                                                                           |         17 |        980 |         40 |        130 |      1,150 |
| onlinebiz-document\src\test\java\com                                                                                                                       |         17 |        980 |         40 |        130 |      1,150 |
| onlinebiz-document\src\test\java\com\njustc                                                                                                                |         17 |        980 |         40 |        130 |      1,150 |
| onlinebiz-document\src\test\java\com\njustc\onlinebiz                                                                                                      |         17 |        980 |         40 |        130 |      1,150 |
| onlinebiz-document\src\test\java\com\njustc\onlinebiz\doc                                                                                                  |         17 |        980 |         40 |        130 |      1,150 |
| onlinebiz-document\src\test\java\com\njustc\onlinebiz\doc\dao                                                                                              |          1 |         50 |          6 |          5 |         61 |
| onlinebiz-document\src\test\resources                                                                                                                      |          1 |          6 |          0 |          2 |          8 |
| onlinebiz-entrust                                                                                                                                          |         18 |      1,774 |        375 |        326 |      2,475 |
| onlinebiz-entrust\src                                                                                                                                      |         17 |      1,692 |        374 |        313 |      2,379 |
| onlinebiz-entrust\src\main                                                                                                                                 |         15 |        849 |        352 |        182 |      1,383 |
| onlinebiz-entrust\src\main\java                                                                                                                            |         12 |        819 |        352 |        177 |      1,348 |
| onlinebiz-entrust\src\main\java\com                                                                                                                        |         12 |        819 |        352 |        177 |      1,348 |
| onlinebiz-entrust\src\main\java\com\njustc                                                                                                                 |         12 |        819 |        352 |        177 |      1,348 |
| onlinebiz-entrust\src\main\java\com\njustc\onlinebiz                                                                                                       |         12 |        819 |        352 |        177 |      1,348 |
| onlinebiz-entrust\src\main\java\com\njustc\onlinebiz\entrust                                                                                               |         12 |        819 |        352 |        177 |      1,348 |
| onlinebiz-entrust\src\main\java\com\njustc\onlinebiz\entrust\controller                                                                                    |          2 |        231 |         24 |         37 |        292 |
| onlinebiz-entrust\src\main\java\com\njustc\onlinebiz\entrust\dao                                                                                           |          2 |        170 |        132 |         57 |        359 |
| onlinebiz-entrust\src\main\java\com\njustc\onlinebiz\entrust\exception                                                                                     |          5 |         30 |          0 |         20 |         50 |
| onlinebiz-entrust\src\main\java\com\njustc\onlinebiz\entrust\service                                                                                       |          2 |        377 |        196 |         57 |        630 |
| onlinebiz-entrust\src\main\resources                                                                                                                       |          3 |         30 |          0 |          5 |         35 |
| onlinebiz-entrust\src\test                                                                                                                                 |          2 |        843 |         22 |        131 |        996 |
| onlinebiz-entrust\src\test\java                                                                                                                            |          2 |        843 |         22 |        131 |        996 |
| onlinebiz-entrust\src\test\java\com                                                                                                                        |          2 |        843 |         22 |        131 |        996 |
| onlinebiz-entrust\src\test\java\com\njustc                                                                                                                 |          2 |        843 |         22 |        131 |        996 |
| onlinebiz-entrust\src\test\java\com\njustc\onlinebiz                                                                                                       |          2 |        843 |         22 |        131 |        996 |
| onlinebiz-entrust\src\test\java\com\njustc\onlinebiz\entrust                                                                                               |          2 |        843 |         22 |        131 |        996 |
| onlinebiz-gateway                                                                                                                                          |          7 |        229 |         14 |         42 |        285 |
| onlinebiz-gateway\src                                                                                                                                      |          5 |        192 |         14 |         32 |        238 |
| onlinebiz-gateway\src\main                                                                                                                                 |          5 |        192 |         14 |         32 |        238 |
| onlinebiz-gateway\src\main\java                                                                                                                            |          2 |        102 |         12 |         20 |        134 |
| onlinebiz-gateway\src\main\java\com                                                                                                                        |          2 |        102 |         12 |         20 |        134 |
| onlinebiz-gateway\src\main\java\com\njustc                                                                                                                 |          2 |        102 |         12 |         20 |        134 |
| onlinebiz-gateway\src\main\java\com\njustc\onlinebiz                                                                                                       |          2 |        102 |         12 |         20 |        134 |
| onlinebiz-gateway\src\main\java\com\njustc\onlinebiz\gateway                                                                                               |          2 |        102 |         12 |         20 |        134 |
| onlinebiz-gateway\src\main\java\com\njustc\onlinebiz\gateway\filter                                                                                        |          1 |         89 |         12 |         15 |        116 |
| onlinebiz-gateway\src\main\resources                                                                                                                       |          3 |         90 |          2 |         12 |        104 |
| onlinebiz-sample                                                                                                                                           |         19 |        613 |         96 |        137 |        846 |
| onlinebiz-sample\src                                                                                                                                       |         18 |        531 |         96 |        123 |        750 |
| onlinebiz-sample\src\main                                                                                                                                  |         16 |        346 |         77 |         93 |        516 |
| onlinebiz-sample\src\main\java                                                                                                                             |         13 |        316 |         77 |         88 |        481 |
| onlinebiz-sample\src\main\java\com                                                                                                                         |         13 |        316 |         77 |         88 |        481 |
| onlinebiz-sample\src\main\java\com\njustc                                                                                                                  |         13 |        316 |         77 |         88 |        481 |
| onlinebiz-sample\src\main\java\com\njustc\onlinebiz                                                                                                        |         13 |        316 |         77 |         88 |        481 |
| onlinebiz-sample\src\main\java\com\njustc\onlinebiz\sample                                                                                                 |         13 |        316 |         77 |         88 |        481 |
| onlinebiz-sample\src\main\java\com\njustc\onlinebiz\sample\configuration                                                                                   |          1 |         13 |          0 |          5 |         18 |
| onlinebiz-sample\src\main\java\com\njustc\onlinebiz\sample\controller                                                                                      |          2 |         92 |          4 |         17 |        113 |
| onlinebiz-sample\src\main\java\com\njustc\onlinebiz\sample\dao                                                                                             |          2 |         80 |         32 |         26 |        138 |
| onlinebiz-sample\src\main\java\com\njustc\onlinebiz\sample\exception                                                                                       |          5 |         20 |          0 |         15 |         35 |
| onlinebiz-sample\src\main\java\com\njustc\onlinebiz\sample\service                                                                                         |          2 |        102 |         41 |         22 |        165 |
| onlinebiz-sample\src\main\resources                                                                                                                        |          3 |         30 |          0 |          5 |         35 |
| onlinebiz-sample\src\test                                                                                                                                  |          2 |        185 |         19 |         30 |        234 |
| onlinebiz-sample\src\test\java                                                                                                                             |          2 |        185 |         19 |         30 |        234 |
| onlinebiz-sample\src\test\java\com                                                                                                                         |          2 |        185 |         19 |         30 |        234 |
| onlinebiz-sample\src\test\java\com\njustc                                                                                                                  |          2 |        185 |         19 |         30 |        234 |
| onlinebiz-sample\src\test\java\com\njustc\onlinebiz                                                                                                        |          2 |        185 |         19 |         30 |        234 |
| onlinebiz-sample\src\test\java\com\njustc\onlinebiz\sample                                                                                                 |          2 |        185 |         19 |         30 |        234 |
| onlinebiz-test                                                                                                                                             |        106 |      7,220 |      1,728 |      1,077 |     10,025 |
| onlinebiz-test\src                                                                                                                                         |        105 |      7,133 |      1,728 |      1,065 |      9,926 |
| onlinebiz-test\src\main                                                                                                                                    |         86 |      2,898 |      1,304 |        629 |      4,831 |
| onlinebiz-test\src\main\java                                                                                                                               |         83 |      2,863 |      1,304 |        624 |      4,791 |
| onlinebiz-test\src\main\java\com                                                                                                                           |         83 |      2,863 |      1,304 |        624 |      4,791 |
| onlinebiz-test\src\main\java\com\njustc                                                                                                                    |         83 |      2,863 |      1,304 |        624 |      4,791 |
| onlinebiz-test\src\main\java\com\njustc\onlinebiz                                                                                                          |         83 |      2,863 |      1,304 |        624 |      4,791 |
| onlinebiz-test\src\main\java\com\njustc\onlinebiz\test                                                                                                     |         83 |      2,863 |      1,304 |        624 |      4,791 |
| onlinebiz-test\src\main\java\com\njustc\onlinebiz\test\config                                                                                              |          1 |         15 |          0 |          3 |         18 |
| onlinebiz-test\src\main\java\com\njustc\onlinebiz\test\controller                                                                                          |         16 |        757 |        514 |        142 |      1,413 |
| onlinebiz-test\src\main\java\com\njustc\onlinebiz\test\controller\project                                                                                  |          2 |        122 |         88 |         26 |        236 |
| onlinebiz-test\src\main\java\com\njustc\onlinebiz\test\controller\report                                                                                   |          2 |         92 |         56 |         15 |        163 |
| onlinebiz-test\src\main\java\com\njustc\onlinebiz\test\controller\review                                                                                   |          4 |        187 |        132 |         36 |        355 |
| onlinebiz-test\src\main\java\com\njustc\onlinebiz\test\controller\scheme                                                                                   |          2 |         83 |         55 |         14 |        152 |
| onlinebiz-test\src\main\java\com\njustc\onlinebiz\test\controller\testcase                                                                                 |          2 |         91 |         61 |         17 |        169 |
| onlinebiz-test\src\main\java\com\njustc\onlinebiz\test\controller\testissue                                                                                |          2 |         91 |         61 |         17 |        169 |
| onlinebiz-test\src\main\java\com\njustc\onlinebiz\test\controller\testrecord                                                                               |          2 |         91 |         61 |         17 |        169 |
| onlinebiz-test\src\main\java\com\njustc\onlinebiz\test\dao                                                                                                 |         18 |        568 |        320 |        181 |      1,069 |
| onlinebiz-test\src\main\java\com\njustc\onlinebiz\test\dao\project                                                                                         |          2 |        134 |         91 |         43 |        268 |
| onlinebiz-test\src\main\java\com\njustc\onlinebiz\test\dao\report                                                                                          |          2 |         50 |         29 |         15 |         94 |
| onlinebiz-test\src\main\java\com\njustc\onlinebiz\test\dao\review                                                                                          |          6 |        176 |         79 |         51 |        306 |
| onlinebiz-test\src\main\java\com\njustc\onlinebiz\test\dao\scheme                                                                                          |          2 |         52 |         31 |         16 |         99 |
| onlinebiz-test\src\main\java\com\njustc\onlinebiz\test\dao\testcase                                                                                        |          2 |         52 |         30 |         18 |        100 |
| onlinebiz-test\src\main\java\com\njustc\onlinebiz\test\dao\testissue                                                                                       |          2 |         52 |         30 |         19 |        101 |
| onlinebiz-test\src\main\java\com\njustc\onlinebiz\test\dao\testrecord                                                                                      |          2 |         52 |         30 |         19 |        101 |
| onlinebiz-test\src\main\java\com\njustc\onlinebiz\test\exception                                                                                           |         29 |        166 |          0 |         57 |        223 |
| onlinebiz-test\src\main\java\com\njustc\onlinebiz\test\exception\project                                                                                   |          5 |         30 |          0 |         11 |         41 |
| onlinebiz-test\src\main\java\com\njustc\onlinebiz\test\exception\report                                                                                    |          4 |         24 |          0 |          8 |         32 |
| onlinebiz-test\src\main\java\com\njustc\onlinebiz\test\exception\review                                                                                    |          4 |         16 |          0 |          8 |         24 |
| onlinebiz-test\src\main\java\com\njustc\onlinebiz\test\exception\scheme                                                                                    |          4 |         24 |          0 |          8 |         32 |
| onlinebiz-test\src\main\java\com\njustc\onlinebiz\test\exception\testcase                                                                                  |          4 |         24 |          0 |          7 |         31 |
| onlinebiz-test\src\main\java\com\njustc\onlinebiz\test\exception\testissue                                                                                 |          4 |         24 |          0 |          7 |         31 |
| onlinebiz-test\src\main\java\com\njustc\onlinebiz\test\exception\testrecord                                                                                |          4 |         24 |          0 |          8 |         32 |
| onlinebiz-test\src\main\java\com\njustc\onlinebiz\test\service                                                                                             |         18 |      1,348 |        470 |        236 |      2,054 |
| onlinebiz-test\src\main\java\com\njustc\onlinebiz\test\service\project                                                                                     |          2 |        307 |         92 |         35 |        434 |
| onlinebiz-test\src\main\java\com\njustc\onlinebiz\test\service\report                                                                                      |          2 |        124 |         40 |         21 |        185 |
| onlinebiz-test\src\main\java\com\njustc\onlinebiz\test\service\review                                                                                      |          6 |        449 |        178 |         79 |        706 |
| onlinebiz-test\src\main\java\com\njustc\onlinebiz\test\service\scheme                                                                                      |          2 |        113 |         40 |         29 |        182 |
| onlinebiz-test\src\main\java\com\njustc\onlinebiz\test\service\testcase                                                                                    |          2 |        119 |         40 |         24 |        183 |
| onlinebiz-test\src\main\java\com\njustc\onlinebiz\test\service\testissue                                                                                   |          2 |        118 |         40 |         24 |        182 |
| onlinebiz-test\src\main\java\com\njustc\onlinebiz\test\service\testrecord                                                                                  |          2 |        118 |         40 |         24 |        182 |
| onlinebiz-test\src\main\resources                                                                                                                          |          3 |         35 |          0 |          5 |         40 |
| onlinebiz-test\src\test                                                                                                                                    |         19 |      4,235 |        424 |        436 |      5,095 |
| onlinebiz-test\src\test\java                                                                                                                               |         19 |      4,235 |        424 |        436 |      5,095 |
| onlinebiz-test\src\test\java\com                                                                                                                           |         19 |      4,235 |        424 |        436 |      5,095 |
| onlinebiz-test\src\test\java\com\njustc                                                                                                                    |         19 |      4,235 |        424 |        436 |      5,095 |
| onlinebiz-test\src\test\java\com\njustc\onlinebiz                                                                                                          |         19 |      4,235 |        424 |        436 |      5,095 |
| onlinebiz-test\src\test\java\com\njustc\onlinebiz\test                                                                                                     |         19 |      4,235 |        424 |        436 |      5,095 |
| onlinebiz-test\src\test\java\com\njustc\onlinebiz\test\dao                                                                                                 |          9 |        886 |         97 |        136 |      1,119 |
| onlinebiz-test\src\test\java\com\njustc\onlinebiz\test\dao\project                                                                                         |          1 |        225 |         24 |         30 |        279 |
| onlinebiz-test\src\test\java\com\njustc\onlinebiz\test\dao\report                                                                                          |          1 |         82 |          7 |         12 |        101 |
| onlinebiz-test\src\test\java\com\njustc\onlinebiz\test\dao\review                                                                                          |          3 |        255 |         30 |         42 |        327 |
| onlinebiz-test\src\test\java\com\njustc\onlinebiz\test\dao\scheme                                                                                          |          1 |         79 |          9 |         13 |        101 |
| onlinebiz-test\src\test\java\com\njustc\onlinebiz\test\dao\testcase                                                                                        |          1 |         80 |          9 |         13 |        102 |
| onlinebiz-test\src\test\java\com\njustc\onlinebiz\test\dao\testissue                                                                                       |          1 |         89 |          9 |         13 |        111 |
| onlinebiz-test\src\test\java\com\njustc\onlinebiz\test\dao\testrecord                                                                                      |          1 |         76 |          9 |         13 |         98 |
| onlinebiz-test\src\test\java\com\njustc\onlinebiz\test\service                                                                                             |          9 |      3,340 |        327 |        295 |      3,962 |
| onlinebiz-test\src\test\java\com\njustc\onlinebiz\test\service\project                                                                                     |          1 |        623 |          0 |         55 |        678 |
| onlinebiz-test\src\test\java\com\njustc\onlinebiz\test\service\report                                                                                      |          1 |        323 |          0 |         30 |        353 |
| onlinebiz-test\src\test\java\com\njustc\onlinebiz\test\service\review                                                                                      |          3 |      1,072 |         89 |         92 |      1,253 |
| onlinebiz-test\src\test\java\com\njustc\onlinebiz\test\service\scheme                                                                                      |          1 |        377 |         67 |         29 |        473 |
| onlinebiz-test\src\test\java\com\njustc\onlinebiz\test\service\testcase                                                                                    |          1 |        329 |         56 |         30 |        415 |
| onlinebiz-test\src\test\java\com\njustc\onlinebiz\test\service\testissue                                                                                   |          1 |        311 |         57 |         32 |        400 |
| onlinebiz-test\src\test\java\com\njustc\onlinebiz\test\service\testrecord                                                                                  |          1 |        305 |         58 |         27 |        390 |
| onlinebiz-user                                                                                                                                             |         19 |      1,122 |        179 |        230 |      1,531 |
| onlinebiz-user\src                                                                                                                                         |         17 |      1,015 |        175 |        209 |      1,399 |
| onlinebiz-user\src\main                                                                                                                                    |         15 |        544 |        162 |        129 |        835 |
| onlinebiz-user\src\main\java                                                                                                                               |         11 |        450 |        162 |        113 |        725 |
| onlinebiz-user\src\main\java\com                                                                                                                           |         11 |        450 |        162 |        113 |        725 |
| onlinebiz-user\src\main\java\com\njustc                                                                                                                    |         11 |        450 |        162 |        113 |        725 |
| onlinebiz-user\src\main\java\com\njustc\onlinebiz                                                                                                          |         11 |        450 |        162 |        113 |        725 |
| onlinebiz-user\src\main\java\com\njustc\onlinebiz\user                                                                                                     |         11 |        450 |        162 |        113 |        725 |
| onlinebiz-user\src\main\java\com\njustc\onlinebiz\user\controller                                                                                          |          2 |        126 |         12 |         24 |        162 |
| onlinebiz-user\src\main\java\com\njustc\onlinebiz\user\exception                                                                                           |          3 |         18 |          0 |         12 |         30 |
| onlinebiz-user\src\main\java\com\njustc\onlinebiz\user\mapper                                                                                              |          1 |         17 |         52 |         14 |         83 |
| onlinebiz-user\src\main\java\com\njustc\onlinebiz\user\model                                                                                               |          1 |         28 |          0 |         11 |         39 |
| onlinebiz-user\src\main\java\com\njustc\onlinebiz\user\service                                                                                             |          3 |        246 |         98 |         47 |        391 |
| onlinebiz-user\src\main\resources                                                                                                                          |          4 |         94 |          0 |         16 |        110 |
| onlinebiz-user\src\main\resources\mappers                                                                                                                  |          1 |         37 |          0 |         10 |         47 |
| onlinebiz-user\src\test                                                                                                                                    |          2 |        471 |         13 |         80 |        564 |
| onlinebiz-user\src\test\java                                                                                                                               |          2 |        471 |         13 |         80 |        564 |
| onlinebiz-user\src\test\java\com                                                                                                                           |          2 |        471 |         13 |         80 |        564 |
| onlinebiz-user\src\test\java\com\njustc                                                                                                                    |          2 |        471 |         13 |         80 |        564 |
| onlinebiz-user\src\test\java\com\njustc\onlinebiz                                                                                                          |          2 |        471 |         13 |         80 |        564 |
| onlinebiz-user\src\test\java\com\njustc\onlinebiz\user                                                                                                     |          2 |        471 |         13 |         80 |        564 |
+------------------------------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+

Files
+------------------------------------------------------------------------------------------------------------------------------------------------------------+----------+------------+------------+------------+------------+
| filename                                                                                                                                                   | language | code       | comment    | blank      | total      |
+------------------------------------------------------------------------------------------------------------------------------------------------------------+----------+------------+------------+------------+------------+
| c:\Users\syhie\IdeaProjects\onlinebiz\.github\workflows\build.yml                                                                                          | YAML     |         14 |          0 |          4 |         18 |
| c:\Users\syhie\IdeaProjects\onlinebiz\.github\workflows\codeql-analysis.yml                                                                                | YAML     |         31 |         29 |         13 |         73 |
| c:\Users\syhie\IdeaProjects\onlinebiz\.github\workflows\test-coverage.yml                                                                                  | YAML     |         20 |          0 |          4 |         24 |
| c:\Users\syhie\IdeaProjects\onlinebiz\.github\workflows\test_unit.yml                                                                                      | YAML     |         14 |          0 |          4 |         18 |
| c:\Users\syhie\IdeaProjects\onlinebiz\README.md                                                                                                            | Markdown |          9 |          0 |          8 |         17 |
| c:\Users\syhie\IdeaProjects\onlinebiz\SECURITY.md                                                                                                          | Markdown |         15 |          0 |          7 |         22 |
| c:\Users\syhie\IdeaProjects\onlinebiz\onlinebiz-common\pom.xml                                                                                             | XML      |         18 |          0 |          5 |         23 |
| c:\Users\syhie\IdeaProjects\onlinebiz\onlinebiz-common\src\main\java\com\njustc\onlinebiz\common\model\EntrustDto.java                                     | Java     |         15 |          6 |         10 |         31 |
| c:\Users\syhie\IdeaProjects\onlinebiz\onlinebiz-common\src\main\java\com\njustc\onlinebiz\common\model\PageResult.java                                     | Java     |         14 |          5 |          9 |         28 |
| c:\Users\syhie\IdeaProjects\onlinebiz\onlinebiz-common\src\main\java\com\njustc\onlinebiz\common\model\PartyDetail.java                                    | Java     |         24 |         16 |         19 |         59 |
| c:\Users\syhie\IdeaProjects\onlinebiz\onlinebiz-common\src\main\java\com\njustc\onlinebiz\common\model\Role.java                                           | Java     |         11 |          9 |         11 |         31 |
| c:\Users\syhie\IdeaProjects\onlinebiz\onlinebiz-common\src\main\java\com\njustc\onlinebiz\common\model\Software.java                                       | Java     |         50 |         32 |         39 |        121 |
| c:\Users\syhie\IdeaProjects\onlinebiz\onlinebiz-common\src\main\java\com\njustc\onlinebiz\common\model\UserDto.java                                        | Java     |         13 |          0 |          8 |         21 |
| c:\Users\syhie\IdeaProjects\onlinebiz\onlinebiz-common\src\main\java\com\njustc\onlinebiz\common\model\contract\Contract.java                              | Java     |         28 |         19 |         22 |         69 |
| c:\Users\syhie\IdeaProjects\onlinebiz\onlinebiz-common\src\main\java\com\njustc\onlinebiz\common\model\contract\ContractStage.java                         | Java     |         11 |          9 |         11 |         31 |
| c:\Users\syhie\IdeaProjects\onlinebiz\onlinebiz-common\src\main\java\com\njustc\onlinebiz\common\model\contract\ContractStatus.java                        | Java     |         11 |          3 |          6 |         20 |
| c:\Users\syhie\IdeaProjects\onlinebiz\onlinebiz-common\src\main\java\com\njustc\onlinebiz\common\model\contract\NonDisclosureAgreement.java                | Java     |         11 |          2 |          6 |         19 |
